Prediction,Probability
Bugatti Veyron 16.4 Coupe 2009,0.58054364
Bentley Arnage Sedan 2009,0.9707492
Volkswagen Beetle Hatchback 2012,0.99837095
Dodge Journey SUV 2012,0.38333094
Chevrolet TrailBlazer SS 2009,0.9279436
Rolls-Royce Ghost Sedan 2012,0.99211407
Tesla Model S Sedan 2012,0.59645313
Honda Accord Sedan 2012,0.9999901
Volkswagen Golf Hatchback 1991,0.9998211
Audi S4 Sedan 2012,0.7860578
BMW X5 SUV 2007,0.9807786
BMW M3 Coupe 2012,0.9696391
Dodge Challenger SRT8 2011,0.9999988
Chevrolet TrailBlazer SS 2009,0.99898046
Cadillac Escalade EXT Crew Cab 2007,0.99967206
Dodge Magnum Wagon 2008,0.63748306
Chevrolet Express Van 2007,0.46151656
Chevrolet Camaro Convertible 2012,0.99909055
Aston Martin Virage Convertible 2012,0.99994385
Ford E-Series Wagon Van 2012,0.9996656
Ford F-150 Regular Cab 2007,0.9979235
BMW ActiveHybrid 5 Sedan 2012,0.9884824
Chevrolet HHR SS 2010,0.9997464
Chevrolet Tahoe Hybrid SUV 2012,0.9999434
Infiniti QX56 SUV 2011,0.94666415
HUMMER H2 SUT Crew Cab 2009,0.9998479
Isuzu Ascender SUV 2008,0.99997365
Bugatti Veyron 16.4 Convertible 2009,0.90056044
Honda Odyssey Minivan 2012,0.999843
Porsche Panamera Sedan 2012,0.8303757
Audi R8 Coupe 2012,0.93207616
Acura TSX Sedan 2012,0.93655384
BMW X5 SUV 2007,0.99849
Audi 100 Wagon 1994,0.9960853
Infiniti G Coupe IPL 2012,0.9860968
Dodge Charger Sedan 2012,0.9995976
Lamborghini Reventon Coupe 2008,0.9998592
Spyker C8 Convertible 2009,0.992751
Nissan 240SX Coupe 1998,0.9996917
Bentley Continental GT Coupe 2007,0.81760645
Plymouth Neon Coupe 1999,0.65503323
Dodge Ram Pickup 3500 Crew Cab 2010,0.9482511
Chevrolet Avalanche Crew Cab 2012,0.9971336
Lamborghini Aventador Coupe 2012,0.99992466
Suzuki Kizashi Sedan 2012,0.39524743
Hyundai Veracruz SUV 2012,0.9679648
Ram C/V Cargo Van Minivan 2012,0.99976605
Chevrolet Camaro Convertible 2012,0.53699553
Jaguar XK XKR 2012,0.5453567
Chrysler Town and Country Minivan 2012,0.99999404
Daewoo Nubira Wagon 2002,0.9970728
BMW M5 Sedan 2010,0.9966455
Dodge Caravan Minivan 1997,0.99975556
Mercedes-Benz Sprinter Van 2012,0.89768714
BMW Z4 Convertible 2012,0.9987006
Aston Martin Virage Convertible 2012,0.9999013
GMC Canyon Extended Cab 2012,0.97267103
Aston Martin Virage Coupe 2012,0.9599024
Chevrolet Corvette Ron Fellows Edition Z06 2007,0.9996057
HUMMER H2 SUT Crew Cab 2009,0.99503314
Chevrolet Tahoe Hybrid SUV 2012,0.9918045
Toyota Camry Sedan 2012,0.9575712
Acura TL Sedan 2012,0.99995816
Land Rover LR2 SUV 2012,0.9986712
Chevrolet TrailBlazer SS 2009,0.9999937
Hyundai Sonata Hybrid Sedan 2012,0.9991787
Spyker C8 Convertible 2009,0.99101853
Dodge Durango SUV 2012,0.99972945
Toyota Camry Sedan 2012,0.99995065
Maybach Landaulet Convertible 2012,0.9905922
Geo Metro Convertible 1993,0.9995432
Chevrolet Sonic Sedan 2012,0.99994123
Suzuki Kizashi Sedan 2012,0.42337155
BMW 3 Series Wagon 2012,0.8320883
Audi S4 Sedan 2012,0.95162624
Dodge Durango SUV 2007,0.99960464
BMW X3 SUV 2012,0.9999919
Toyota Sequoia SUV 2012,0.99980456
Jeep Patriot SUV 2012,0.26696438
Chrysler PT Cruiser Convertible 2008,0.9999944
Mercedes-Benz 300-Class Convertible 1993,0.9623221
Chevrolet Traverse SUV 2012,0.99999607
Chevrolet Silverado 1500 Hybrid Crew Cab 2012,0.93737364
Dodge Durango SUV 2012,0.9890049
Audi RS 4 Convertible 2008,0.55579686
GMC Terrain SUV 2012,0.90291375
Dodge Durango SUV 2007,0.9998963
Plymouth Neon Coupe 1999,0.99955326
Audi TT Hatchback 2011,0.5754492
Acura TL Type-S 2008,0.8785431
Mercedes-Benz E-Class Sedan 2012,0.98467803
Dodge Ram Pickup 3500 Quad Cab 2009,0.683434
Buick Enclave SUV 2012,0.9862439
Bentley Continental GT Coupe 2007,0.9265557
Chevrolet Corvette ZR1 2012,0.95200723
Mercedes-Benz Sprinter Van 2012,0.8269528
Dodge Durango SUV 2012,0.9998493
Chevrolet Corvette ZR1 2012,0.89426327
Chevrolet Corvette Ron Fellows Edition Z06 2007,0.93243724
Dodge Charger SRT-8 2009,0.9852566
